priority_rank,asin,suggested_sku,account,impressions,clicks,conversions,units_sold,assigned_PH
68,B0DSBVY2DZ,CRSF100BM+PHUP1PBRBM+LSH3325HE,LEDSone UK,178,2,2,10,
69,B08X7J912L,PLPYBC,DCVoltage UK,384,4,2,6,
70,B084RFZNH8,WCB7BM+RPR44WH,LEDSone UK,33,0,2,5,
71,B0DV5F3N8Z,ENC8218,LEDSone UK,3354,33,2,4,
72,B0DHLDX34K,LSCO335WH+RPR44WH,LEDSone UK,196,2,2,4,
73,B0D6GDQP8G,CRSF100BC+PHNW1RBC+ICST64E27,LEDSone UK,156,1,2,4,
74,B09HN3LKV4,PHSF1PWR40WH+CGWDWO+LSBS160WH,LEDSone UK,115,3,2,4,
75,B0CSJVZCXR,WCCYSQBM2PK+LDMT45E2742PK,LEDSone UK,102,0,2,4,
76,B0GWLHXMQ5,LSGLWB125TN2PK+SCRN70YB2PK,LEDSone UK,969,6,2,3,
77,B0F6V9HH23,ENC685,LEDSone UK,765,1,2,3,
78,B0D93SG7BH,WCB6BS3PK+RPR44WH3PK,LEDSone UK,596,2,2,3,
79,B0GYPHHNKD,BS6S8033ML,LEDSone UK,276,2,2,3,
80,B0FN7YJXXB,SSSFGLCL3PK,LEDSone UK,239,3,2,3,
81,B08V8KYY9H,CRSF100BM+PHSH1PBRBM+LSMS320OR,DCVoltage UK,235,2,2,3,
82,B09WJFXSD9,CRFF140SN+WSNW170SN+LSOL220SN,LEDSone UK,119,1,2,3,
83,B095P9K3WL,CRSF100BM+WSNW170BM+LSUL220BM,LEDSone UK,90,0,2,3,
84,B0FXFP656V,WCFRBM2PK+ICST64E27602PK,DCVoltage UK,63,0,2,3,
85,B0CVDZZ8NN,TSTLRUSRB2PK,LEDSone UK,62,1,2,3,
86,B08XXW4PKK,WCB7BM+RPR44WH,DCVoltage UK,53,0,2,3,
87,B0FN7L73KF,CRSF100CH+LHNSE27CH+ICST64E27,LEDSone UK,30,0,2,3,
88,B0GY423LQJ,LSGL9015CL2PK+RPM40WH2PK,DCVoltage UK,3071,13,2,2,
89,B0G57TF1GT,CRFF500BM+PHNW1RBM3PK,LEDSone UK,2806,13,2,2,
90,B08B61VPZL,PLTTBC+LSFT220BC,LEDSone UK,2138,11,2,2,
91,B0CCDQ9N41,WCVCBM2PK+RPR44WH2PK,LEDSone UK,1894,6,2,2,
92,B09HV6YPCH,CRFF500BM+PHHT1PBRBM3PK+WCDTBM3PK,LEDSone UK,1876,8,2,2,
93,B0H393YSKV,LSGL9015GY3PK+RPM40WH3PK,DCVoltage UK,1247,8,2,2,
94,B0CNT1QNSN,PLADBM,DCVoltage UK,1130,9,2,2,
95,B0DV5DF7H5,ENC8216,LEDSone UK,840,7,2,2,
96,B0GZND9ZR6,LHSWPBB22GD2PK,LEDSone UK,833,5,2,2,
97,B0D6KLL6DX,LSCY290GY2PK+RPR44WH2PK,DCVoltage UK,725,0,2,2,
98,B0H32W9HVL,SPCC320BM2PK,LEDSone UK,626,11,2,2,
99,B0F4432H4K,CENU19150BM2PK,DCVoltage UK,541,2,2,2,
100,B0FNN717PN,CRSF1203BM+PHRN2PCRBM3PK,LEDSone UK,486,3,2,2,
101,B0CZ9CH465,LSMS320BT2PK+RPR44WH2PK,DCVoltage UK,476,1,2,2,
102,B09HV88XVH,CRFF500BM+PHHT1PBRRO3PK+WCWDRO3PK,LEDSone UK,461,4,2,2,
103,B0C9DPGRGD,SPSDP2BM,DCVoltage UK,440,10,2,2,
104,B0FHK4V88R,TPFC300BG,DCVoltage UK,393,1,2,2,
105,B0GVT3RF7L,WCBTC120FG2PK+RPR44WH2PK,LEDSone UK,377,2,2,2,
106,B0F4KN3FGH,ENC1276,LEDSone UK,365,0,2,2,
107,B0CXX5K5LC,WCDTGD2PK+RPR44WH2PK,DCVoltage UK,328,1,2,2,
108,B0GXB4FPPR,WCBTC140FG2PK+RPR44WH2PK,LEDSone UK,323,1,2,2,
109,B0GGS4DFB1,CRFF100BM+PHUP1PBRBM+CNT900BM,DCVoltage UK,297,5,2,2,
110,B0G57Z7PBB,ENC641,LEDSone UK,279,2,2,2,
111,B0DTHTGPD2,WCB7WH3PK+RPR44WH3PK,DCVoltage UK,235,0,2,2,
112,B0F2DLJ3TC,LSFS230BM,LEDSone UK,206,3,2,2,
113,B0CBXBG2FC,PLPYBM+ICST64E27,LEDSone UK,196,2,2,2,
114,B0CP933MXR,CRSF100BB2PK+PHCH1PBRBB2PK+LSCY290BB2PK,DCVoltage UK,192,0,2,2,
115,B0D83G5VKN,ENC685,DCVoltage UK,175,1,2,2,
116,B08SVWVMG5,PLDMBC,DCVoltage UK,174,5,2,2,
