priority_rank,asin,suggested_sku,account,impressions,clicks,conversions,units_sold,assigned_PH
290,B0H1MS8KF4,LDCWA60HE2776PK,LEDSone UK,84,2,1,1,
291,B0D6G6B11R,CSBEB9AG2PK,DCVoltage UK,82,0,1,1,
292,B07RSR2655,HLRK45BM,DCVoltage UK,81,3,1,1,
293,B0CP3FTNS9,CRFF100CH+PHUP1PCRCH+CNT900CH+ICST64E27,DCVoltage UK,79,1,1,1,
294,B0D2TFWFX7,LSCY290BM3PK+RPR44WH3PK,DCVoltage UK,77,0,1,1,
295,B0F79XM6L3,CTBOP21XXL+CTBOP20XXL+CTBOP19XXL,DCVoltage UK,76,0,1,1,
296,B0C4HCZ57T,LSCY210BG+RPR44WH,LEDSone UK,74,0,1,1,
297,B0DZHGNY42,LSLC180BS2PK+RPR44WH2PK,LEDSone UK,73,1,1,1,
298,B0D6KMPJB7,LSCY290GR2PK+RPR44WH2PK,DCVoltage UK,72,1,1,1,
299,B0GFDJH7PB,SPUPBM2PK,LEDSone UK,71,1,1,1,
300,B09YYSDPSH,PLADRR+LSDO210RR3PK+ICST64E273PK,DCVoltage UK,70,0,1,1,
301,B0FG7L178M,TPFC300BG,LEDSone UK,70,2,1,1,
302,B0G5Y4HV1T,CRSF1203BM+PHNW1RBM3PK,DCVoltage UK,69,1,1,1,
303,B0GWCZ6Y61,CRFF500BM+PHHT1PBRBM3PK+WCCYSP180BM3PK,DCVoltage UK,68,0,1,1,
304,B0DM5HVQ2P,CRFF500BM+PHTT1PBRBM3PK+WCBCBB3PK,LEDSone UK,68,0,1,1,
305,B0F9YQJN3N,LSMS320YE+RPR44WH,LEDSone UK,67,0,1,1,
306,B07RXYSY72,PLWLRR,DCVoltage UK,65,0,1,1,
307,B08XNSJYTG,LSCY290GY+RPR44WH,DCVoltage UK,65,0,1,1,
308,B0F79GRYH3,CTBOP13XL+CTBOP23XL+CTBOP28XL,DCVoltage UK,64,0,1,1,
309,B0BBB5SX4T,CL3RPE5PK,LEDSone UK,64,0,1,1,
310,B0F1CV6Q2Y,CRSF1204WH,LEDSone UK,64,0,1,1,
311,B0G57SHHMT,CRFF500BS+PHNW1RBS3PK+ICST64E273PK,LEDSone UK,63,1,1,1,
312,B0FBRKR16M,ENC9723,LEDSone UK,63,0,1,1,
313,B0D3LY29Z9,CSBEB6LG+CSBEB6PI,LEDSone UK,63,2,1,1,
314,B0FCRL3TXM,LSFSCO220BM,DCVoltage UK,62,0,1,1,
315,B0D6G6QRXK,CSBEB9GY2PK,DCVoltage UK,61,0,1,1,
316,B0847NVVD6,CBSF85,LEDSone UK,60,5,1,1,
317,B0D9K5NHFW,TPFC280SL,DCVoltage UK,59,0,1,1,
318,B0CSFTLDYN,STND182WH2PK,LEDSone UK,59,1,1,1,
319,B0DZH7YGDB,WCBXBM+RPR44WH,LEDSone UK,58,0,1,1,
320,B0GF1R1BNV,ENC1804,LEDSone UK,57,0,1,1,
321,B0F43XSTZC,LSCY290BC+RPR44WH,LEDSone UK,57,0,1,1,
322,B09LML4ZW9,CRSF100BM+LHNSE27BM+SCRN70YB+LSMS320BT,LEDSone UK,56,0,1,1,
323,B0D3M13N9X,CSBEB6OR+CSBEB6PI,LEDSone UK,55,1,1,1,
324,B0CN1BG11M,CRSF1202WH+PHRY1PCRWH2PK+LSDO210WH2PK,DCVoltage UK,55,0,1,1,
325,B08WS22BVW,PHCT1BMRBM+PHBA1BMRBM+LSDO300YB,DCVoltage UK,54,0,1,1,
326,B0F1TRX5SN,WCBNWH2PK+RPR44WH2PK,DCVoltage UK,54,0,1,1,
327,B0F9WZ5R9L,LSFT220GB+RPR44WH,LEDSone UK,54,1,1,1,
328,B0CV17KMM8,CKCP38382T2,DCVoltage UK,53,1,1,1,
329,B0D6KKSWN8,LSCY290YE2PK+RPR44WH2PK,DCVoltage UK,51,0,1,1,
330,B0D8PBMLB7,IMRGAPK,LEDSone UK,51,1,1,1,
331,B0CG5YGHNW,LSCY290CH2PK+RPR44WH2PK,DCVoltage UK,50,2,1,1,
332,B0CQJNTQ6R,MADOIMT2BM,LEDSone UK,49,0,1,1,
333,B0F9WGTYFF,LSHH240RR+RPR44WH,LEDSone UK,49,0,1,1,
334,B0BC1BY6S1,CL3RBRAPK,LEDSone UK,47,0,1,1,
335,B0CF5NMTQX,CRSF100CO+PHCHPBRCO+LSCY290CO,LEDSone UK,47,0,1,1,
336,B0CRZ2C9QS,LSCY290RR+RPR44WH,DCVoltage UK,46,0,1,1,
337,B0DQKYKKJV,BL1S0300BM,DCVoltage UK,46,1,1,1,
338,B0CNJQRMML,WCB2RR,DCVoltage UK,46,0,1,1,
339,B0CN2ZMT1F,ENC5706,DCVoltage UK,44,1,1,1,
340,B0DK8WQ5ZS,LHTOE27YB,LEDSone UK,44,0,1,1,
341,B0FBW7J4PH,CRSF2003BS+PHNW1RBS3PK,DCVoltage UK,43,0,1,1,
342,B0D4QKJS1H,CSBEB6PI2PK,DCVoltage UK,43,0,1,1,
343,B0CVL7N9XH,LSEL400YE+RPR44WH,DCVoltage UK,42,0,1,1,
344,B0CR93LP26,CKB2401BM,DCVoltage UK,41,3,1,1,
345,B08S728C3C,CRSF2003YB+PHHN1PBRGD3PK+LSGG200AR3PK,DCVoltage UK,41,1,1,1,
346,B0DCZ22X2R,WCFWROCO2PK+RPR44WH2PK,LEDSone UK,41,0,1,1,
347,B0CL9GR1CJ,BLBB1GU350+LDGU10WD5,LEDSone UK,41,0,1,1,
348,B0BX46169V,LSSS300BM+RPR44WH,LEDSone UK,41,0,1,1,
349,B0F6CRCT5V,ENC2729,LEDSone UK,41,0,1,1,
350,B0B18NDGCQ,RPM40BM2PK,DCVoltage UK,41,0,1,1,
351,B08QRGQ484,ENC108,DCVoltage UK,40,0,1,1,
352,B0CN33ZKP6,WCB5BC2PK+RPR44WH2PK,DCVoltage UK,40,0,1,1,
353,B095PRD65M,CRSF100BM+WCSC1BM,LEDSone UK,40,0,1,1,
354,B097BYN3NY,LHPHE27CO,LEDSone UK,39,0,1,1,
355,B0D675MX2L,SPSDP2WH3PK,DCVoltage UK,39,1,1,1,
356,B0CB7WBYJB,SPSDP3WH6PK,DCVoltage UK,38,0,1,1,
357,B0CP7D7CJP,CBSF135,DCVoltage UK,38,0,1,1,
358,B0DD6XX3XM,WCDEBM2PK,LEDSone UK,37,0,1,1,
359,B0CR9W5933,WCFWROCO+RPR44WH,LEDSone UK,37,1,1,1,
360,B0DCHM8TH7,STND242RE2PK,LEDSone UK,37,1,1,1,
361,B0C5XZ8198,LSTF40BM+RPR44WH,LEDSone UK,36,0,1,1,
362,B0C7WCH2PQ,ENC5201,LEDSone UK,36,0,1,1,
363,B0CNC66YTD,ENC5316,DCVoltage UK,35,0,1,1,
364,B0CBLWW4NG,WCVCBM2PK+RPR44WH2PK,DCVoltage UK,35,0,1,1,
365,B0BVMT26RM,CRSF2003BS+PHRI1PCRSN3PK+LSHH240BS3PK,DCVoltage UK,34,0,1,1,
366,B09MQSCVGF,WCB4WH+RPR44WH,LEDSone UK,33,0,1,1,
367,B0C7R2PGD4,CRSF2003BM+WCRNBM3PK+ICST64E273PK,DCVoltage UK,33,0,1,1,
368,B0FN4BQ4N5,PLHCRR+LSDO210RR3PK,LEDSone UK,32,0,1,1,
369,B0F7942PGH,CTBOP19L+CTBOP15L+CTBOP14L,DCVoltage UK,32,2,1,1,
370,B095YFTLFF,ENC4012,DCVoltage UK,32,0,1,1,
371,B08XXV8PLG,WCB3BB+RPR44WH,DCVoltage UK,32,0,1,1,
372,B0D4QN84XR,CSBEB6LG2PK,DCVoltage UK,32,1,1,1,
373,B0BC1H7FR9,CL3RPEAPK,LEDSone UK,31,0,1,1,
374,B08T9JZ971,CRSF100SN+LHNSE27SN+LSSS300SN,LEDSone UK,31,0,1,1,
375,B0F7LLS2CF,LSFC300OW2PK,LEDSone UK,30,0,1,1,
376,B0DBVRR8X3,ENC7545,LEDSone UK,30,1,1,1,
377,B0D4QLPVSG,CSBEB6BL+CSBEB6LG,DCVoltage UK,30,1,1,1,
378,B0GL7GLZ8N,ENC9424,LEDSone UK,30,0,1,1,
379,B07Q5Z23V6,24IP20200,DCVoltage UK,29,0,1,1,
380,B0CY53XG9S,CKTBDFBK,DCVoltage UK,29,0,1,1,
381,B0D6GBVPB8,CSBEB9NB2PK,DCVoltage UK,29,2,1,1,
382,B0DFCSD62T,MABST2DY2PK,DCVoltage UK,28,0,1,1,
383,B0D675RN2B,SPSDP2SN2PK,DCVoltage UK,28,1,1,1,
384,B0C9TBRBCV,LHCNE27GB,DCVoltage UK,28,0,1,1,
385,B0G5XK5K1X,CRSF2003CO+PHNW1RRR3PK+ICST64E273PK,DCVoltage UK,27,0,1,1,
386,B0FWBXBD9G,PHHR3DSTHE,DCVoltage UK,27,0,1,1,
387,B094DC2GNJ,CRFF500BM+PHMU1PBRCO3PK+LSDM220CO3PK,LEDSone UK,27,0,1,1,
388,B0C6DJZRXQ,CRSF1209CO+PHBK1PBRCO9PK+ICST64E279PK,DCVoltage UK,26,0,1,1,
389,B08MB1CYJV,ENC33,LEDSone UK,26,0,1,1,
390,B0DX6JMJ68,ENC7543,LEDSone UK,26,1,1,1,
391,B084RCKRV7,WCB6BS+RPR44WH,LEDSone UK,26,0,1,1,
392,B09GVRVRL2,CRSF100BM+WSHR135BM+LSDM220FG,DCVoltage UK,25,0,1,1,
393,B08XXVF2R8,WCB3WH+RPR44WH,DCVoltage UK,25,0,1,1,
394,B09LVF5824,PHCT1BMRBM+PHDO1PBRBM+LSCY290CO,LEDSone UK,25,0,1,1,
395,B0D83MBJW1,WCDTGD3PK+RPR44WH3PK,DCVoltage UK,25,0,1,1,
396,B0CF1N2JNF,BLOB1GU3002PK+LDGU10CD52PK,DCVoltage UK,24,0,1,1,
397,B0DGKTRDZN,RPR44WH3PK,LEDSone UK,24,1,1,1,
398,B09KVB6H5L,ENC2000,LEDSone UK,24,0,1,1,
399,B0BWNQQMYL,ENC775,LEDSone UK,23,0,1,1,
400,B08XNTWYY2,LSCY290CO+RPR44WH,DCVoltage UK,23,0,1,1,
401,B0G7GH5WWQ,PSHYOS4WRWH+CBMP140WH,LEDSone UK,23,0,1,1,
402,B0CN9FBQVD,ENC5747,LEDSone UK,23,1,1,1,
403,B0D6769L8H,SPSDP2BM2PK,DCVoltage UK,23,1,1,1,
404,B0CG928BJC,WCFWROBM+RPR44WH,LEDSone UK,23,0,1,1,
405,B0CCJ5NB8Z,SPSDP3BM6PK,LEDSone UK,22,0,1,1,
406,B0CLD8QRW9,CRSF108WH2PK+WSST70WH2PK+ICST64E272PK,LEDSone UK,21,0,1,1,
407,B0CTTB5FC2,LSCO335WH2PK+RPR44WH2PK,DCVoltage UK,21,0,1,1,
408,B0BVMKSR6Y,WCFRBM,LEDSone UK,21,0,1,1,
409,B0C4LWG9JR,LSLC180RR+RPR44WH,LEDSone UK,20,0,1,1,
410,B0GYP9Q11N,BS6S8033WH,LEDSone UK,20,0,1,1,
411,B0DP78B2BM,CRSF100YB2PK+PHCHPCRYB2PK+LSCY290YB2PK,LEDSone UK,20,0,1,1,
412,B0G49D2BKG,WCCYSP180BM2PK+RPR44WH2PK,DCVoltage UK,20,1,1,1,
413,B0CGDV6KZK,CRSF100WH+PHRN2PCRGY,LEDSone UK,20,0,1,1,
414,B0D9S9T5HZ,CL2RLGAPK,LEDSone UK,19,1,1,1,
415,B0FL745DTM,PHSF2BRTCO2PK+ICST64E272PK,DCVoltage UK,19,0,1,1,
416,B0F7R5MYM7,PCSWRG10SN+SWFF1GCH,LEDSone UK,19,1,1,1,
417,B081H7GZJB,12IP6715,DCVoltage UK,19,0,1,1,
418,B0DCK24R7X,ENC6527,LEDSone UK,18,0,1,1,
419,B0CMCQSL71,CRSF100WH+PHCH1PCTSRE+ICST64E27,LEDSone UK,17,1,1,1,
420,B0DFGJV866,WCDTWH5PK+RPR44WH5PK,DCVoltage UK,17,0,1,1,
421,B0CTXGBD5D,LSCO360WH2PK+RPR44WH2PK,DCVoltage UK,17,0,1,1,
422,B0CKF22C46,LDLIE27TF4,LEDSone UK,17,0,1,1,
423,B0CDPWFXXW,PHHR1DSTHE2PK,LEDSone UK,17,0,1,1,
424,B0FPQHSDCP,LSLC180BM2PK+RPR44WH2PK,LEDSone UK,16,0,1,1,
425,B0D6W96Z65,FWS34243BM,LEDSone UK,16,0,1,1,
426,B0C39491SD,PHCT1BMRBM+PHBA1BMRBM+LSLT360BC,DCVoltage UK,15,0,1,1,
427,B0DD7J5YMZ,LSFC300OW2PK,DCVoltage UK,15,0,1,1,
428,B0CVL8N94Y,LSTF400OR+RPR44WH,DCVoltage UK,15,0,1,1,
429,B0C5XXZBQJ,LSTF40BB+RPR44WH,LEDSone UK,14,0,1,1,
430,B0DJCWXVZC,ENC7704,DCVoltage UK,14,0,1,1,
431,B0D8VQYTDL,LDG9D51C55PK,LEDSone UK,14,3,1,1,
432,B0CNZT7NNB,CRSF100GB+WSSS70GB+LSFT220GB+ICST64E27,DCVoltage UK,13,0,1,1,
433,B0FKLRMJ44,ENC8681,DCVoltage UK,13,0,1,1,
434,B0FR548H95,PHSF2GYTCH3PK+ICST64E273PK,DCVoltage UK,13,0,1,1,
435,B0F9WZ3QD8,LSFT220WH+RPR44WH,LEDSone UK,13,0,1,1,
436,B0DNJ9L8M5,PCBSM2FFG,LEDSone UK,13,0,1,1,
437,B09HHG46J1,CRFF500WH+PHRI1PCRSN3PK+LSFT220SN3PK,DCVoltage UK,13,0,1,1,
438,B0DCS6TVSZ,WCWDCH2PK+RPR44WH2PK,LEDSone UK,12,0,1,1,
439,B08XXWLS8C,WCB1BS+RPR44WH,DCVoltage UK,12,0,1,1,
440,B09YYT3RXY,PLADRR+LSDO210RR3PK,DCVoltage UK,12,0,1,1,
441,B07CWD8D5F,12IP67300,DCVoltage UK,12,1,1,1,
442,B0FTRT91C4,12IP67100,LEDSone UK,11,0,1,1,
443,B0FN7WTTH3,SSSFGLCL6PK,LEDSone UK,11,0,1,1,
444,B0CGDZ76D8,CRSF100WH+PHRN1PCRBT,LEDSone UK,11,0,1,1,
445,B0CN3CCL6N,WCB1WH+RPR44WH,DCVoltage UK,11,0,1,1,
446,B0F2SZD4RK,LSMS320WH+RPR44WH,LEDSone UK,10,0,1,1,
447,B0DHLDR6GQ,LSCO335WH2PK+RPR44WH2PK,LEDSone UK,9,0,1,1,
448,B0CKF9K9KR,LDLIE14FL4,LEDSone UK,9,0,1,1,
449,B0C2Q2Y72W,CRSF100WH+PHRB1PBRWH+CGWDWO+LSWE315BL,LEDSone UK,9,0,1,1,
450,B08FHXRKGG,CRSF100BM+WSLS155BM+LSFT220YE,DCVoltage UK,9,0,1,1,
451,B0H33KDSFY,LPMC50CW9WAPK,LEDSone UK,9,1,1,1,
452,B0D9Q3BWH3,PHCT80GBCGB,DCVoltage UK,8,0,1,1,
453,B0CNTFRQHL,WCB4BC,DCVoltage UK,8,0,1,1,
454,B0C58TTXKV,ENC4920,DCVoltage UK,8,0,1,1,
455,B0GW8BMXKH,LHSWPBB22SN,DCVoltage UK,8,0,1,1,
456,B0CNTD6JBS,WCB7BC+RPR44WH,DCVoltage UK,7,0,1,1,
457,B0F79WMWRG,CTBOP28L+CTBOP27L+CTBOP26L,DCVoltage UK,7,0,1,1,
458,B0D4QRCHRK,CSBEB6BL+CSBEB6PI,DCVoltage UK,7,0,1,1,
459,B0DLW4KYG8,CL2TPUAPK,DCVoltage UK,7,0,1,1,
460,B0CLDB8Q5J,CRSF108CH2PK+WSST70CH2PK,LEDSone UK,7,0,1,1,
461,B08XNPZZ6W,LSSS300RO+RPR44WH,DCVoltage UK,7,0,1,1,
462,B0DV5F8QR2,ENC8208,LEDSone UK,5,0,1,1,
463,B0DDXQQFXB,LHSHE27SN3PK,LEDSone UK,5,0,1,1,
464,B0CHJNH1FL,BC2W160,LEDSone UK,5,0,1,1,
465,B09BVZC1XR,WCTBBM,LEDSone UK,5,0,1,1,
466,B0CBLYHCFB,WCWDCH2PK+RPR44WH2PK,DCVoltage UK,5,0,1,1,
467,B08FHYPCX5,CRSF100CO+WSLS155CO+LSFT220RE,DCVoltage UK,5,0,1,1,
468,B0CTWV3DHQ,LSCO360BM+RPR44WH,DCVoltage UK,4,0,1,1,
469,B0F43WHXJ9,LSCY290SN+RPR44WH,LEDSone UK,4,0,1,1,
470,B0H45R1MMR,CRSF100BL2PK+LHTTE27BL2PK,DCVoltage UK,3,0,1,1,
471,B0DX73BKQZ,PCBM20MX2PK,LEDSone UK,3,0,1,1,
472,B0G5HGBR4T,PCGZFF5PK,LEDSone UK,3,1,1,1,
473,B0D7PRPNS3,LBT1DSGR2PK,DCVoltage UK,2,0,1,1,
474,B0CMCRLX7D,CRSF100WH+PHCH1PCTSYE+ICST64E27,LEDSone UK,2,0,1,1,
475,B0CNZ2HJ65,ENC4316,DCVoltage UK,2,0,1,1,
476,B0D8YHX5YL,LSCY210BC2PK+RPR44WH2PK,LEDSone UK,1,0,1,1,
477,B0DBLR9K2G,CL3RREAPK,DCVoltage UK,1,0,1,1,
478,B0F24DF4JP,CGCEGBAPK,LEDSone UK,1,0,1,1,
479,B0F29GNRKT,SPSD78SN3PK,LEDSone UK,1,0,1,1,
480,B08FHX7BRK,CRSF100BM+WSLS155BM+LSFT220BL,DCVoltage UK,1,0,1,1,
481,B0CNXLR5DJ,CL3TLB3PK,DCVoltage UK,1,0,1,1,
482,B0F291VKCF,,LEDSone UK,1932,12,1,0,
483,B0D9RWB87Q,,DCVoltage UK,1221,10,1,0,
484,B0DP2RQWTH,,LEDSone UK,592,2,1,0,
485,B0CBPQVC6K,,DCVoltage UK,395,1,1,0,
486,B09L54F3QS,,LEDSone UK,168,0,1,0,
487,B0BW9RPJ23,,LEDSone UK,125,0,1,0,
488,B08TLSNGD7,,DCVoltage UK,94,0,1,0,
489,B0CBPBQK1X,,DCVoltage UK,56,0,1,0,
490,B0D5LV2NC3,,DCVoltage UK,52,0,1,0,
491,B0CBVBWZCG,,LEDSone UK,48,1,1,0,
492,B09K7GSHQ9,,DCVoltage UK,14,0,1,0,
