ASIN,AMZ_Jun_GBP,AMZ_Jun_items,AMZ_Jul_GBP,AMZ_Jul_items,AMZ_JunJul_GBP,AMZ_JunJul_items
B0GY3G4S1F,21.89,1,0.0,0,21.89,1
B0CP1VRQL3,15.89,1,0.0,0,15.89,1
B08VGFQ44L,0.0,1,0.0,0,0.0,1
B0CRZ4L8DQ,15.79,1,0.0,0,15.79,1
B0CRZ4FYL7,15.89,1,0.0,0,15.89,1
B0CQT78SLK,35.67,1,0.0,0,35.67,1
B08TM2GGZQ,11.89,1,0.0,0,11.89,1
B0DTY4396W,27.89,1,0.0,0,27.89,1
B0C7G86VHW,0.0,1,0.0,0,0.0,1
B0D296DZPB,0.0,1,0.0,0,0.0,1
B0GSRGH9H6,0.0,1,0.0,0,0.0,1
B0D2975QTC,0.0,0,25.89,1,25.89,1
B0CZNJCBB6,22.79,1,0.0,0,22.79,1
B0CVL1N6WV,17.49,1,0.0,0,17.49,1
B0C7GC9MB2,0.0,1,0.0,0,0.0,1
B0C2KTS5Z6,11.89,1,0.0,0,11.89,1
B0BX3Y8RQL,14.99,1,0,0,14.99,1
B0F2YNF4WW,1.99,1,0.0,0,1.99,1
B0BWJWCNK9,13.89,1,0.0,0,13.89,1
B0F2HCBSCG,0.0,1,0.0,0,0.0,1
B0CCF83CYJ,15.89,1,0.0,0,15.89,1
B0DB5QVVJP,0.0,1,0,0,0.0,1
B0DXQ6J1ZD,25.89,1,0.0,0,25.89,1
B0H3918NPV,45.89,1,0.0,0,45.89,1
B0D2996NVS,0.0,1,0.0,0,0.0,1
B0CVLFG3DT,2.99,1,0.0,0,2.99,1
B0D28WPS53,38.79,1,0.0,0,38.79,1
B0CVKSQN9K,0.0,1,0.0,0,0.0,1
B0D294Y23J,0.0,1,0.0,0,0.0,1
B0CPBVNNQX,15.89,1,0.0,0,15.89,1
B0DD3C2Z39,18.49,1,0.0,0,18.49,1
B0F7LTVVKM,20.09,1,0.0,0,20.09,1
B0CVQDVWLK,0.0,1,0,0,0.0,1
B0C9WYVMC5,0.0,1,0.0,0,0.0,1
B0CS9PSKG3,17.89,1,0.0,0,17.89,1
B0GTP4W59M,27.78,1,0,0,27.78,1
B0GMGGDPPM,0.0,1,0.0,0,0.0,1
B0C7CLSCMB,0.0,1,0.0,0,0.0,1
B0D7H6835J,27.09,1,0,0,27.09,1
B08Y72NF8M,0.0,1,0.0,0,0.0,1
B095PNG4CN,0.0,0,14.07,1,14.07,1
B08XNP5V9W,0.0,1,0.0,0,0.0,1
B0F2GCKKRN,0.0,1,0.0,0,0.0,1
B0CZ9D1VCL,81.96,1,0.0,0,81.96,1
B08DKMMQS7,15.89,1,0.0,0,15.89,1
B0F2FYP3JH,0.0,1,0,0,0.0,1
B0F9WYKMF1,0.0,0,7.5,1,7.5,1
B0C7GB5R59,0.0,1,0.0,0,0.0,1
B0GLPXD3LQ,15.89,1,0,0,15.89,1
B0GLQ72BZ8,15.89,1,0.0,0,15.89,1
B0CVL3X12C,18.49,1,0.0,0,18.49,1
B0CVQF7CXG,15.17,1,0.0,0,15.17,1
B0DYTRPNCT,2.49,1,0.0,0,2.49,1
B0BWYGFXPL,15.89,1,0.0,0,15.89,1
B0F7LT6FFV,20.09,1,0.0,0,20.09,1
B0F9WGTYFF,13.59,1,0,0,13.59,1
B0C37KMS2T,0.0,1,0.0,0,0.0,1
B0C2KR7JQ6,11.89,1,0.0,0,11.89,1
B0F43XSTZC,15.89,1,0.0,0,15.89,1
B0D5LSD942,17.99,1,0.0,0,17.99,1
B0CC9PMP61,13.89,1,0,0,13.89,1
B0D296FXJP,0.0,1,0.0,0,0.0,1
B08XNTWYY2,18.89,1,0.0,0,18.89,1
B0CPBW1B4F,18.89,1,0.0,0,18.89,1
B0CGZRV5GV,42.89,1,0.0,0,42.89,1
B0F9WVZR6P,0.0,1,0.0,0,0.0,1
B0CVL5VZ1Y,0.0,0,16.39,1,16.39,1
B08TLP8FZ7,0.0,0,9.07,1,9.07,1
B0CVLB3HDN,13.19,1,0,0,13.19,1
B0CB4P6RGN,35.78,1,0.0,0,35.78,1
B0DNSNDJMH,16.99,1,0.0,0,16.99,1
B0C9X28TYN,11.19,1,0.0,0,11.19,1
B08XNPHRC5,26.98,1,0.0,0,26.98,1
B0G39TDFLX,18.59,1,0.0,0,18.59,1
B0F2SZD4RK,14.99,1,0.0,0,14.99,1
B0CPBWTNW1,18.29,1,0.0,0,18.29,1
B0DTYDVSM4,0.0,0,92.37,1,92.37,1
B0F43WHXJ9,18.29,1,0.0,0,18.29,1
B0F43VJ1MN,31.78,1,0,0,31.78,1
B0F9WZ3QD8,10.89,1,0.0,0,10.89,1
B0GTPFKNBX,41.78,1,0,0,41.78,1
